"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.655777660E-1,6.900900364E0,2.538784742E0,5.190032482E0,9.000238384E0
4.679927660E-1,3.560520172E0,2.352144718E0,6.704689026E0,7.947499204E0
4.704077140E-1,9.810572863E-2,2.179861546E0,8.078168869E0,8.367689847E0
4.728227140E-1,-2.464607239E0,2.100898266E0,9.119047165E0,9.677038987E0
4.752376620E-1,-4.060619831E0,2.136790514E0,9.846465111E0,1.086312028E1
4.776526100E-1,-4.807180882E0,2.263610125E0,1.034417248E1,1.162905082E1
4.800676100E-1,-5.216353416E0,2.256431818E0,1.050927734E1,1.194766663E1
4.824825580E-1,-5.400600910E0,2.220539331E0,1.060499001E1,1.210632472E1
4.848975580E-1,-5.230710506E0,2.232503414E0,1.070788097E1,1.212448427E1
4.873125050E-1,-4.795216560E0,2.294716835E0,1.082752228E1,1.206213355E1
4.897275050E-1,-4.132404804E0,2.361716032E0,1.082991505E1,1.182968858E1
4.921424530E-1,-3.354737282E0,2.433500528E0,1.070309544E1,1.147747529E1
4.945574010E-1,-2.593819857E0,2.500499725E0,1.051406288E1,1.111422146E1
4.969724010E-1,-1.902294040E0,2.512463808E0,1.030110168E1,1.077236710E1
4.993873490E-1,-1.356730461E0,2.447857618E0,1.005464077E1,1.043688294E1
5.018023490E-1,-1.012163997E0,2.335394859E0,9.858428955E0,1.018170745E1
5.042172970E-1,-9.499505758E-1,2.199003935E0,9.635896683E0,9.929175660E0
5.066322450E-1,-1.186840057E0,2.053041935E0,9.322437286E0,9.619324689E0
5.090472450E-1,-1.545763373E0,1.899901152E0,8.920442581E0,9.250584016E0
5.114621930E-1,-1.942971945E0,1.758724689E0,8.520841599E0,8.914762703E0
5.138771930E-1,-2.270788670E0,1.615155339E0,8.161917686E0,8.624506263E0
5.162921410E-1,-2.545963287E0,1.390229940E0,7.781459332E0,8.304563666E0
5.187070890E-1,-2.751745939E0,1.067198873E0,7.274180889E0,7.850141830E0
5.211220890E-1,-2.864208698E0,9.690931439E-1,6.922435760E0,7.554002240E0
5.235370370E-1,-2.866601467E0,9.571290612E-1,6.666403770E0,7.319456212E0
5.259520370E-1,-2.818745136E0,9.619147182E-1,6.470192432E0,7.122779948E0
5.283669850E-1,-2.746960402E0,9.571290612E-1,6.333801746E0,6.969858826E0
5.307819330E-1,-2.646461725E0,9.738788009E-1,6.252445698E0,6.858955954E0
5.331969330E-1,-2.574677229E0,9.738788009E-1,6.195017815E0,6.779059557E0
5.356118800E-1,-2.651247501E0,9.714859724E-1,6.125626087E0,6.745086602E0
5.380268800E-1,-2.871387243E0,9.930213690E-1,6.087340832E0,6.803431086E0
5.404418280E-1,-3.031706333E0,1.000199914E0,6.037091732E0,6.829210770E0
5.428567760E-1,-3.187239647E0,9.858429432E-1,5.986842155E0,6.853660472E0
5.452717760E-1,-3.270988464E0,9.834501147E-1,6.001199245E0,6.905138090E0
5.476867240E-1,-3.385843992E0,1.016949654E0,6.070590973E0,7.024969815E0
5.501017240E-1,-3.433700562E0,1.014556766E0,6.108876228E0,7.080818720E0
5.525166720E-1,-3.455235958E0,1.024128079E0,6.135197163E0,7.115345253E0
5.549316720E-1,-3.448057413E0,1.007378340E0,6.118447304E0,7.095019975E0
5.573466200E-1,-3.443271875E0,9.690931439E-1,6.061019897E0,7.037842349E0
5.597615680E-1,-3.519842148E0,8.973084688E-1,6.003592014E0,7.016948647E0
5.621765680E-1,-3.668197155E0,8.231309652E-1,5.972485542E0,7.057180634E0
5.645915160E-1,-3.802195072E0,7.393822074E-1,5.974878311E0,7.120571905E0
5.670064640E-1,-3.878765583E0,6.652047038E-1,6.027520180E0,7.198494236E0
5.694214640E-1,-3.962514400E0,6.293123364E-1,6.092126369E0,7.294625288E0
5.718364120E-1,-3.943371773E0,5.958128572E-1,6.128018856E0,7.311483365E0
5.742514120E-1,-3.692125320E0,6.029912829E-1,6.137589931E0,7.187864637E0
5.766663600E-1,-3.357130051E0,5.886343718E-1,6.161518097E0,7.041386075E0
5.790813600E-1,-2.904886723E0,5.240281820E-1,6.197410583E0,6.864464316E0
5.814963080E-1,-2.524427891E0,4.354937077E-1,6.264409542E0,6.767955220E0
5.839112550E-1,-2.349751949E0,3.278166950E-1,6.384050846E0,6.810646314E0
