"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.142130167E0,-1.197509766E1,-6.310128021E0,4.542753296E0,1.427786003E1
1.152054167E0,-1.486079681E1,-6.985373840E0,5.964197388E0,1.747027132E1
1.161979167E0,-1.989767258E1,-7.139104156E0,7.328460388E0,2.237388017E1
1.171904167E0,-1.795231796E1,-4.902754669E0,7.814200287E0,2.018376698E1
1.181829167E0,-1.684851334E1,-4.117487640E0,5.256469116E0,1.812337092E1
1.191754167E0,-1.510643600E1,-3.812272339E0,3.282374268E0,1.592205420E1
1.201679167E0,-1.442430450E1,-4.007167053E0,2.248025208E0,1.513841357E1
1.211604167E0,-1.351090393E1,-4.001628571E0,1.638193359E0,1.418595199E1
1.221529167E0,-1.195773376E1,-4.171674957E0,1.915716248E0,1.280860014E1
1.231454167E0,-1.123249191E1,-4.537514191E0,2.910397797E0,1.245906597E1
1.241379167E0,-1.087353836E1,-4.365521851E0,3.698658600E0,1.228705388E1
1.251304167E0,-1.038675064E1,-3.909719696E0,3.344644775E0,1.159125298E1
1.261229167E0,-1.072998688E1,-3.773053894E0,2.251318359E0,1.159469656E1
1.271154167E0,-1.181717606E1,-4.339326324E0,1.632355499E0,1.269409262E1
1.281079167E0,-1.293535080E1,-4.807702332E0,1.292711792E0,1.386031767E1
1.291004167E0,-1.347183517E1,-4.424948273E0,8.623567200E-1,1.420613140E1
1.300929167E0,-1.350880829E1,-4.043691101E0,7.024891663E-1,1.411852790E1
1.310854167E0,-1.341001373E1,-4.097579041E0,1.159189453E0,1.406990911E1
1.320778167E0,-1.304641983E1,-4.146078186E0,1.673819275E0,1.379132719E1
1.330703167E0,-1.252625153E1,-4.301155701E0,1.421294403E0,1.332017250E1
1.340628167E0,-1.274195297E1,-4.443359985E0,1.163081360E0,1.354450338E1
1.350553167E0,-1.247251328E1,-4.559069366E0,1.810185699E0,1.340244281E1
1.360478167E0,-1.196027847E1,-4.340823212E0,1.894310760E0,1.286388046E1
1.370403167E0,-1.095826218E1,-2.747536469E0,3.377127228E0,1.179141446E1
1.380328167E0,-9.209299164E0,-1.427880707E0,5.783672791E0,1.096817694E1
1.390253167E0,-9.127868500E0,-1.282083893E0,3.678600311E0,9.924405408E0
1.400178167E0,-9.595645752E0,-1.428629150E0,1.733096008E0,9.854999768E0
1.410103167E0,-1.164952469E1,-3.629203033E0,-4.778063965E-1,1.221109492E1
1.420028167E0,-1.031355286E1,-4.028722229E0,1.264720001E0,1.114448258E1
1.429953167E0,-6.696324921E0,-3.167413330E0,5.171146545E0,9.034048441E0
1.439878167E0,-3.688479767E0,-2.776127014E0,5.508245544E0,7.186969679E0
1.449803167E0,-4.121828613E0,-4.671036530E0,2.411634979E0,6.680122503E0
1.459728167E0,-5.864355011E0,-7.126081238E0,-1.551074524E0,9.358286471E0
1.469653167E0,-6.325995026E0,-7.500303040E0,-2.136956177E0,1.004187933E1
1.479578167E0,-7.510182495E0,-9.300609283E0,-3.022814026E0,1.233051413E1
1.489502167E0,-1.117605927E1,-1.046728317E1,-8.713979187E0,1.761822213E1
1.499427167E0,-9.447453918E0,-8.350534973E0,-7.299869843E0,1.456962318E1
1.509352167E0,-6.415808258E0,-5.911506958E0,-2.607577515E0,9.105381410E0
1.519277167E0,-4.482578430E0,-5.428461456E0,1.152603149E0,7.133736551E0
1.529202167E0,-5.176535339E0,-6.631809082E0,-1.122665405E-1,8.413680146E0
1.539127167E0,-5.818550262E0,-6.271807709E0,-1.811682587E0,8.744900965E0
1.549052167E0,-6.056854706E0,-4.943619690E0,-9.333091736E-1,7.873749461E0
1.558977167E0,-5.750142517E0,-4.023782501E0,5.709127808E-1,7.041371030E0
1.568902167E0,-5.868097229E0,-3.871998138E0,5.596861267E-1,7.052672063E0
1.578827167E0,-6.761589203E0,-4.050127716E0,-1.153650970E0,7.965772632E0
1.588752167E0,-7.770491180E0,-4.798870697E0,-2.799179077E0,9.552229931E0
1.598677167E0,-8.464747467E0,-5.848488007E0,-3.559448090E0,1.088698454E1
1.608602167E0,-8.454269257E0,-6.730753326E0,-3.682492218E0,1.141658697E1
1.618527167E0,-8.160280609E0,-7.328310699E0,-3.681145020E0,1.156914629E1
1.628452167E0,-7.651488647E0,-7.336543579E0,-3.627257080E0,1.120388969E1
1.638377167E0,-6.947502594E0,-6.814728699E0,-3.817361755E0,1.045373475E1
1.648302167E0,-5.437442780E0,-6.218069458E0,-3.380869446E0,8.925270303E0
1.658226167E0,-3.472928009E0,-5.075046387E0,-3.095413055E0,6.884686396E0
1.668151167E0,-4.251758423E0,-4.904700623E0,-6.055806885E0,8.877293220E0
1.678076167E0,-3.298241272E0,-4.070784760E0,-3.643423462E0,6.381552990E0
1.688001167E0,-7.993377686E-1,-2.921923828E0,2.415077820E0,3.874168375E0
1.697926167E0,-1.776655426E0,-6.587052155E0,-1.816472626E0,7.060122760E0
1.707851167E0,-2.299518127E0,-9.101074219E0,-5.865402832E0,1.106888820E1
1.717776167E0,1.019380188E-1,-6.766977997E0,-3.676804047E0,7.702030289E0
1.727701167E0,-3.988605652E0,-8.141270142E0,-9.685458984E0,1.326640005E1
1.737626167E0,-4.454436951E0,-6.217620392E0,-7.065457306E0,1.041256447E1
1.747551167E0,-1.239422607E0,-2.729873199E0,3.444337463E-1,3.017782413E0
1.757476167E0,-3.517235870E0,-3.038082275E0,-3.584146729E0,5.869156656E0
1.767401167E0,-5.805227966E0,-3.043022003E0,-4.907544708E0,8.188079733E0
1.777326167E0,-7.623347168E0,-1.166374512E0,-3.378175049E0,8.419496315E0
1.787251167E0,-8.568182373E0,-2.207309875E0,-4.348906403E0,9.858952934E0
1.797176167E0,-8.416547699E0,-5.203030243E0,-5.211712189E0,1.118354786E1
1.807101167E0,-8.309370575E0,-6.133645020E0,-5.276078339E0,1.159759644E1
1.817026167E0,-8.025261383E0,-5.758076019E0,-4.039200439E0,1.067124172E1
1.826951167E0,-7.447013855E0,-5.671555939E0,-3.430416412E0,9.969569644E0
1.836875167E0,-8.443042603E0,-6.194867706E0,-4.033961334E0,1.122204074E1
1.846800167E0,-8.254285126E0,-5.682034149E0,-2.518961792E0,1.033266198E1
1.856725167E0,-6.994804230E0,-5.603447571E0,-1.007854156E0,9.018962296E0
1.866650167E0,-6.775360565E0,-6.597979431E0,-1.487606506E0,9.573495520E0
1.876575167E0,-6.346652069E0,-7.321425018E0,-2.647694092E0,1.004457768E1
1.886500167E0,-5.960754547E0,-7.536827087E0,-3.504063263E0,1.022804071E1
1.896425167E0,-6.011648712E0,-6.641538849E0,-4.056714020E0,9.833965993E0
1.906350167E0,-5.806724854E0,-7.144642639E0,-3.772754517E0,9.949756208E0
1.916275167E0,-6.452781372E0,-9.196875000E0,-6.320905609E0,1.289087836E1
1.926200167E0,-6.890171814E0,-8.346792755E0,-5.285808105E0,1.204504812E1
1.936125167E0,-6.956783295E0,-7.430548096E0,-3.498375092E0,1.076329443E1
1.946050167E0,-7.472161560E0,-7.298522644E0,-5.766159210E0,1.193106128E1
1.955975167E0,-8.872948608E0,-7.887847137E0,-5.904770966E0,1.325947471E1
1.965900167E0,-9.002579041E0,-8.274343414E0,-5.793103180E0,1.353038184E1
1.975825167E0,-7.478298798E0,-8.731043701E0,-5.433550873E0,1.271532745E1
1.985750167E0,-6.103108521E0,-9.437574463E0,-4.200115814E0,1.199819646E1
1.995675167E0,-4.751718750E0,-9.756860504E0,-2.877316589E0,1.122738210E1
2.005600167E0,-4.534221039E0,-9.696386261E0,-2.117646332E0,1.091162192E1
2.015525167E0,-4.715344391E0,-9.273665314E0,-2.430795135E0,1.068382451E1
2.025450167E0,-5.002447357E0,-9.002878418E0,-2.778971100E0,1.066766046E1
2.035374167E0,-5.428910522E0,-8.554111633E0,-2.617456970E0,1.046408029E1
2.045299167E0,-5.566624146E0,-8.294102325E0,-2.396366730E0,1.027239073E1
2.055224167E0,-6.015091553E0,-8.265811157E0,-2.456391907E0,1.051374442E1
2.065149167E0,-6.516249390E0,-8.741821289E0,-2.403252411E0,1.116497056E1
2.075074167E0,-6.481970673E0,-8.885372772E0,-2.701731720E0,1.132542041E1
2.084999167E0,-5.200485535E0,-9.118737488E0,-2.702031097E0,1.083962154E1
2.094924167E0,-3.852239227E0,-9.143436127E0,-1.985171814E0,1.011845237E1
2.104849167E0,-2.348316650E0,-8.822353821E0,-1.332229614E0,9.226231830E0
2.114774167E0,-2.049537964E0,-8.314010925E0,-1.017883301E-2,8.562913473E0
2.124694792E0,-2.805316315E0,-7.377258911E0,4.278103638E-1,7.904224843E0
2.134619792E0,-2.826871490E0,-6.591842194E0,-7.789801025E-1,7.214596034E0
2.144544792E0,-2.253713379E0,-6.964267731E0,-1.271006927E0,7.429381376E0
2.154469792E0,-1.385967865E0,-7.185956726E0,-2.468067627E0,7.723356706E0
2.164394792E0,-1.157542877E0,-7.508984985E0,-3.228785706E0,8.255290313E0
2.174319792E0,-2.398013306E-1,-8.038583679E0,-3.877536621E0,8.928136563E0
2.184244792E0,1.570534058E0,-9.381441193E0,-2.247276764E0,9.773856400E0
2.194169792E0,4.667294312E-1,-1.008961853E1,-2.005828857E0,1.029764963E1
2.204094792E0,-2.176024933E0,-9.573940887E0,-2.883154449E0,1.023269311E1
2.214019792E0,-3.425925751E0,-8.732989655E0,-2.602338409E0,9.735206251E0
2.223944792E0,-3.883823547E0,-8.161627808E0,-3.018922119E0,9.529435690E0
2.233868792E0,-2.815644836E0,-7.359595642E0,-4.467759247E0,9.058276688E0
2.243793792E0,-2.445913696E-1,-6.650370483E0,-4.912783813E0,8.271801334E0
2.253718792E0,3.700155487E0,-6.841522980E0,-3.239563293E0,8.425696271E0
2.263643792E0,4.622986450E0,-7.474556580E0,-1.757495270E0,8.962688737E0
2.273568792E0,3.023263092E0,-8.036338348E0,-1.754351807E0,8.763595383E0
2.283493792E0,1.306932220E0,-8.547974396E0,-2.087259521E0,8.895650084E0
2.293418792E0,-8.617579651E-1,-9.233548737E0,-2.217638397E0,9.535143896E0
2.303343792E0,-2.205363922E0,-9.442963257E0,-2.692750397E0,1.006399969E1
2.313268792E0,-2.693798218E0,-8.429869995E0,-2.464924164E0,9.186681017E0
2.323193792E0,-1.835183716E-1,-8.099806366E0,-3.374432831E0,8.776522038E0
2.333118792E0,1.244961090E0,-1.037597305E1,-4.423601074E0,1.134808316E1
2.343043792E0,1.987866211E0,-1.099373840E1,-3.502117310E0,1.170806226E1
2.352968792E0,4.401896210E0,-1.044273422E1,-2.151625671E0,1.153502845E1
2.362893792E0,4.665797424E0,-1.046713348E1,-1.347647552E0,1.153892122E1
2.372818792E0,1.647773438E0,-9.877958679E0,-1.712588654E0,1.015983193E1
2.382743792E0,4.225712585E-1,-9.062753906E0,-1.983076172E0,9.286800630E0
2.392668792E0,1.174906769E0,-8.902437286E0,-2.539020081E0,9.331688943E0
2.402593792E0,2.266436920E0,-9.125473480E0,-2.797233124E0,9.809970219E0
2.412518792E0,3.917802887E0,-8.169710999E0,-2.562371521E0,9.415896403E0
2.422443792E0,4.690196686E0,-7.040459290E0,-1.883383484E0,8.666784023E0
2.432367792E0,3.592828674E0,-8.398884430E0,-9.666897583E-1,9.186085491E0
2.442292792E0,1.684596863E0,-1.178349609E1,-9.650431824E-1,1.194235970E1
2.452217792E0,1.343007202E0,-1.417312683E1,-1.858535156E0,1.435741430E1
2.462142792E0,9.424401855E-1,-1.480645981E1,-2.351609802E0,1.502163487E1
2.472067792E0,7.243437195E-1,-1.416294800E1,-2.318977661E0,1.436980957E1
2.481992792E0,7.903564453E-1,-1.245978973E1,-2.043550415E0,1.265097316E1
2.491917792E0,4.617897034E-1,-1.080827408E1,-1.527723083E0,1.092547372E1
2.501842792E0,8.223898315E-1,-9.840835876E0,-9.018745422E-1,9.916236860E0
2.511767792E0,1.369502106E0,-9.378896484E0,-2.981799316E-1,9.483045215E0
2.521692792E0,1.550775146E0,-9.014853516E0,1.106199646E-1,9.147935518E0
2.531617792E0,9.839039612E-1,-9.240284729E0,-4.105961609E-1,9.301586858E0
2.541542792E0,1.329235840E-1,-9.971813507E0,-1.731150055E0,1.012183846E1
2.551467792E0,-4.643344116E-1,-1.021939865E1,-2.907254333E0,1.063502905E1
2.561392792E0,-2.966830444E-1,-9.621092834E0,-4.542004852E0,1.064346073E1
2.571317792E0,1.860930176E0,-7.933502197E0,-3.961961060E0,9.060941103E0
2.581242792E0,2.887645111E0,-6.686146088E0,-2.934497681E0,7.852026517E0
2.591167792E0,2.358345795E0,-7.018604736E0,-2.602039032E0,7.848134457E0
2.601092792E0,1.755848694E0,-7.752378845E0,-3.900588684E0,8.854206598E0
2.611016792E0,9.862989807E-1,-8.545130310E0,-5.435945892E0,1.017553662E1
2.620941792E0,3.731739807E-1,-1.088431595E1,-5.679040375E0,1.228247093E1
2.630866792E0,4.846920776E-1,-1.132784363E1,-2.925815735E0,1.170962704E1
2.640791792E0,1.457070007E0,-9.129814453E0,-1.800306244E0,9.419005655E0
2.650716792E0,5.611830139E-1,-8.643775177E0,-1.822160797E0,8.851556115E0
2.660641792E0,-6.721023560E-1,-9.179810486E0,-2.497406616E0,9.537173687E0
