"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.323108750E-1,-1.129760651E1,-6.722520447E0,5.482948151E0,1.424397818E1
9.422358750E-1,-1.042611877E1,-8.277037811E0,5.312153320E0,1.433290900E1
9.521608750E-1,-1.006626709E1,-8.884324951E0,3.335962830E0,1.383436341E1
9.620858750E-1,-9.846074982E0,-8.577612762E0,2.253114624E0,1.325130781E1
9.720108750E-1,-9.239087219E0,-8.227790222E0,2.468816071E0,1.261555854E1
9.819348750E-1,-8.101452942E0,-8.176297302E0,3.300187225E0,1.197399737E1
9.918598750E-1,-6.837481384E0,-7.798183594E0,3.713328094E0,1.101597134E1
1.001784875E0,-5.456752625E0,-7.035669250E0,3.611539764E0,9.608330265E0
1.011709875E0,-4.734504547E0,-6.588698730E0,2.990630951E0,8.646985472E0
1.021634875E0,-4.252357178E0,-6.713539124E0,2.364932098E0,8.291384261E0
1.031559875E0,-3.858226776E0,-7.728129272E0,1.606908417E0,8.785900669E0
1.041484875E0,-3.703448639E0,-8.907975769E0,7.238946533E-1,9.674274525E0
1.051409875E0,-4.121978302E0,-1.025233017E1,1.721420288E-2,1.104994459E1
1.061334875E0,-3.916904755E0,-1.109492798E1,-3.275189209E-1,1.177059210E1
1.071259875E0,-3.916605377E0,-1.040351578E1,-2.700234833E0,1.143958943E1
1.081184875E0,-5.524860992E0,-9.739945679E0,-5.878575439E0,1.264706606E1
1.091109875E0,-7.331903229E0,-7.534881134E0,-3.693868561E0,1.114342423E1
1.101034875E0,-6.916816406E0,-5.509143677E0,-1.134490814E0,8.915160271E0
1.110959875E0,-5.813311157E0,-5.257816315E0,3.794609070E-1,7.847497027E0
1.120884875E0,-5.092859344E0,-5.292244720E0,4.689747620E-1,7.359688024E0
1.130808875E0,-5.134772186E0,-4.799469452E0,-4.101470947E-2,7.028689396E0
1.140733875E0,-5.510790253E0,-3.861370239E0,-9.535171509E-2,6.729641988E0
1.150658875E0,-5.950426025E0,-3.666176147E0,2.119592285E-1,6.992377574E0
1.160583875E0,-6.407126312E0,-4.228556671E0,3.088078308E-1,7.682924012E0
1.170508875E0,-6.513405304E0,-4.954247589E0,-4.281097412E-2,8.183571996E0
1.180433875E0,-6.192472687E0,-4.667593689E0,-2.598596191E-1,7.758909449E0
1.190358875E0,-5.787115631E0,-3.536545715E0,-7.599696350E-1,6.824618434E0
1.200283875E0,-5.450316010E0,-2.639461212E0,-6.988966370E-1,6.095995128E0
1.210208875E0,-5.588628387E0,-2.679278412E0,-2.856060791E-1,6.204262317E0
1.220133875E0,-6.133645020E0,-3.647764435E0,-2.200424194E-2,7.136404612E0
1.230058875E0,-7.056475983E0,-5.428611145E0,-4.869374084E-1,8.916321007E0
1.239983875E0,-7.480993195E0,-3.847000122E0,-7.860154724E-1,8.448815860E0
1.249908875E0,-7.150929565E0,-2.150877228E0,4.206253052E-2,7.467518715E0
1.259832875E0,-7.247628479E0,-3.201392670E0,-4.056564331E-1,7.933573642E0
1.269757875E0,-7.862699432E0,-4.908143463E0,-7.628137207E-1,9.300204266E0
1.279682875E0,-7.867489471E0,-6.518345032E0,-1.906884613E0,1.039338354E1
1.289607875E0,-5.789211273E0,-9.889784088E0,-2.524200897E0,1.173432515E1
1.299532875E0,-2.581381989E0,-1.011192215E1,-2.641706543E0,1.076536651E1
1.309457875E0,-1.791773987E-1,-8.050259399E0,-1.991309052E0,8.294823246E0
1.319382875E0,7.815248108E-1,-6.978188782E0,-9.568103027E-1,7.086704852E0
1.329307875E0,-8.442443848E-2,-7.129823456E0,9.490264893E-2,7.130954811E0
1.339232875E0,-2.584974518E0,-8.046517181E0,5.864804077E-1,8.471864687E0
1.349157875E0,-6.459367676E0,-8.530760193E0,4.977149963E-1,1.071191022E1
1.359082875E0,-9.630672913E0,-7.865543518E0,1.094224548E-1,1.243497523E1
1.369007875E0,-1.117501144E1,-6.595584412E0,-3.233276367E-1,1.298026022E1
1.378932875E0,-1.130479156E1,-6.722071381E0,-4.757107544E-1,1.316095957E1
1.388856875E0,-1.052626053E1,-7.655230865E0,-3.541635132E-1,1.302037450E1
1.398781875E0,-1.011117371E1,-8.363108826E0,-2.359094238E-1,1.312375999E1
1.408706875E0,-9.245523834E0,-9.013805695E0,-1.017883301E0,1.295239323E1
1.418631875E0,-8.240813141E0,-8.878487091E0,-1.716330872E0,1.223455459E1
1.428556875E0,-7.572453003E0,-7.769293671E0,-1.324894867E0,1.092974451E1
1.438481875E0,-7.854017487E0,-7.240144043E0,-5.664221191E-1,1.069701409E1
1.448406875E0,-8.818461914E0,-7.087461548E0,-2.106120300E-1,1.131555298E1
1.458331875E0,-1.021700363E1,-6.886728973E0,-3.052153015E-1,1.232507020E1
1.468256875E0,-1.089868607E1,-6.619983673E0,-3.529660034E-1,1.275657191E1
1.478181875E0,-1.007869125E1,-6.114933929E0,1.187031555E-1,1.178925463E1
1.488106875E0,-9.338031464E0,-6.035898285E0,4.007167053E-1,1.112616167E1
1.498031875E0,-8.741970978E0,-6.066434784E0,2.588117981E-1,1.064380905E1
1.507956875E0,-7.920030212E0,-5.958958282E0,5.986051941E-1,9.929470809E0
